place,Jurisdiction,Age,Females,Males,year
465,Kiowa,35-39,9.0,11,2016.0
466,Lafayette,35-39,993.0,1103,2016.0
467,Lakeside,35-39,0.0,0,2016.0
468,Lakewood,35-39,4736.0,5028,2016.0
469,Larkspur,35-39,5.0,4,2016.0
470,Littleton,35-39,1381.0,1365,2016.0
471,Lone Tree,35-39,385.0,364,2016.0
472,Longmont,35-39,3112.0,3143,2016.0
473,Louisville,35-39,581.0,609,2016.0
474,Lyons,35-39,82.0,59,2016.0
475,Mead,35-39,137.0,156,2016.0
476,Morrison,35-39,15.0,4,2016.0
477,Mountain View,35-39,21.0,15,2016.0
478,Nederland,35-39,55.0,67,2016.0
479,Northglenn,35-39,1535.0,1292,2016.0
480,Parker,35-39,2374.0,2310,2016.0
481,Platteville,35-39,109.0,81,2016.0
482,Sheridan,35-39,229.0,214,2016.0
483,Silver Plume,35-39,1.0,7,2016.0
484,Superior,35-39,367.0,413,2016.0
485,Thornton,35-39,5285.0,5526,2016.0
486,Ward,35-39,11.0,14,2016.0
487,Westminster,35-39,3725.0,3830,2016.0
488,Wheat Ridge,35-39,1016.0,1000,2016.0
489,Weld County (DRCOG),35-39,2652.0,2711,2016.0
490,Region,35-39,118340.0,121695,2016.0
421,Arvada,40-44,3679.0,3514,2016.0
422,Aurora,40-44,12869.0,13448,2016.0
423,Bennett,40-44,83.0,50,2016.0
424,Black Hawk,40-44,2.0,5,2016.0
425,Boulder City,40-44,2870.0,2937,2016.0
426,Adams County,40-44,16215.0,17383,2016.0
427,Arapahoe County,40-44,22963.0,22399,2016.0
